"key","en","es","ar","de"
"shoes-put_on_accessoire-you","Put the shoes on.","Ponte los zapatos.","ارتدي الحذاء.","Ziehen Sie die Schuhe an."
"stool-move_furniture-apartment","Move the stool into the apartment.","Mueve el taburete al apartamento.","انقل المقعد إلى الشقة.","Bringe den Hocker in die Wohnung."
"suitcase-store_medium-car","Put the suitcase in the car.","Meter la maleta en el coche.","ضع الحقيبة في السيارة.","Lege den Koffer in das Auto."
"suitcase-store_medium-car__color__black","Put the suitcase in the black car.","Pon la maleta en el coche negro.","ضع الحقيبة في السيارة السوداء.","Lege den Koffer in das schwarze Auto."
"suitcase__color__white-store_medium-car","Put the white suitcase in the car.","Pon la maleta blanca en el coche.","ضع الحقيبة البيضاء في السيارة.","Legen Sie den weißen Koffer in das Auto."
"suitcase__color__white-store_medium-car__color__black","Put the white suitcase in the black car.","Mete la maleta blanca en el coche negro.","ضع الحقيبة البيضاء في السيارة السوداء.","Lege den weißen Koffer in das schwarze Auto."
"suitcase-store_medium-car__color__blue","Put the suitcase in the blue car.","Mete la maleta en el coche azul.","ضع الحقيبة في السيارة الزرقاء.","Legen Sie den Koffer in das blaue Auto."
"suitcase__color__white-store_medium-car__color__blue","Put the white suitcase in the blue car.","Mete la maleta blanca en el coche azul.","ضع الحقيبة البيضاء في السيارة الزرقاء.","Lege den weißen Koffer in das blaue Auto."
"suitcase-store_medium-car__color__green","Put the suitcase in the green car.","Mete la maleta en el coche verde.","ضع الحقيبة في السيارة الخضراء.","Legen Sie den Koffer in das grüne Auto."
"suitcase__color__white-store_medium-car__color__green","Put the white suitcase in the green car.","Mete la maleta blanca en el coche verde.","ضع الحقيبة البيضاء في السيارة الخضراء.","Lege den weißen Koffer in das grüne Auto."
"suitcase-store_medium-car__color__orange","Put the suitcase in the orange car.","Mete la maleta en el coche naranja.","ضع الحقيبة في السيارة البرتقالية.","Lege den Koffer in das orangefarbene Auto."
"suitcase__color__white-store_medium-car__color__orange","Put the white suitcase in the orange car.","Mete la maleta blanca en el coche naranja.","ضع الحقيبة البيضاء في السيارة البرتقالية.","Legen Sie den weißen Koffer in das orangefarbene Auto."
"suitcase-store_medium-car__color__pink","Put the suitcase in the pink car.","Mete la maleta en el coche rosa.","ضع الحقيبة في السيارة الوردية.","Lege den Koffer in das rosa Auto."
"suitcase__color__white-store_medium-car__color__pink","Put the white suitcase in the pink car.","Mete la maleta blanca en el coche rosa.","ضع الحقيبة البيضاء في السيارة الوردية.","Lege den weißen Koffer in das rosa Auto."
"suitcase-store_medium-car__color__purple","Put the suitcase in the purple car.","Mete la maleta en el coche morado.","ضع الحقيبة في السيارة البنفسجية.","Lege den Koffer in das lila Auto."
"suitcase__color__white-store_medium-car__color__purple","Put the white suitcase in the purple car.","Mete la maleta blanca en el coche morado.","ضع الحقيبة البيضاء في السيارة البنفسجية.","Lege den weißen Koffer in das lila Auto."
"suitcase-store_medium-car__color__red","Put the suitcase in the red car.","Mete la maleta en el coche rojo.","ضع الحقيبة في السيارة الحمراء.","Lege den Koffer in das rote Auto."
"suitcase__color__white-store_medium-car__color__red","Put the white suitcase in the red car.","Mete la maleta blanca en el coche rojo.","ضع الحقيبة البيضاء في السيارة الحمراء.","Lege den weißen Koffer in das rote Auto."
"suitcase-store_medium-car__color__silver","Put the suitcase in the silver car.","Mete la maleta en el coche plateado.","ضع الحقيبة في السيارة الفضية.","Lege den Koffer in das silberne Auto."
"suitcase__color__white-store_medium-car__color__silver","Put the white suitcase in the silver car.","Mete la maleta blanca en el coche plateado.","ضع الحقيبة البيضاء في السيارة الفضية.","Lege den weißen Koffer in das silberne Auto."
"suitcase-store_medium-car__color__white","Put the suitcase in the white car.","Mete la maleta en el coche blanco.","ضع الحقيبة في السيارة البيضاء.","Legen Sie den Koffer in das weiße Auto."
"suitcase__color__white-store_medium-car__color__white","Put the white suitcase in the white car.","Mete la maleta blanca en el coche blanco.","ضع الحقيبة البيضاء في السيارة البيضاء.","Lege den weißen Koffer in das weiße Auto."
"suitcase-store_medium-car__color__yellow","Put the suitcase in the yellow car.","Mete la maleta en el coche amarillo.","ضع الحقيبة في السيارة الصفراء.","Legen Sie den Koffer in das gelbe Auto."
"suitcase-store_medium-car__age__new","Put the suitcase in the new car.","Mete la maleta en el coche nuevo.","ضع الحقيبة في السيارة الجديدة.","Legen Sie den Koffer in das neue Auto."
"suitcase__color__white-store_medium-car__color__yellow","Put the white suitcase in the yellow car.","Mete la maleta blanca en el coche amarillo.","ضع الحقيبة البيضاء في السيارة الصفراء.","Legen Sie den weißen Koffer in das gelbe Auto."
"suitcase__color__white-store_medium-car__age__new","Put the white suitcase in the new car.","Mete la maleta blanca en el coche nuevo.","ضع الحقيبة البيضاء في السيارة الجديدة.","Legen Sie den weißen Koffer in das neue Auto."
"suitcase-store_medium-car__age__old","Put the suitcase in the old car.","Mete la maleta en el coche viejo.","ضع الحقيبة في السيارة القديمة.","Legen Sie den Koffer in das alte Auto."
"suitcase__color__white-store_medium-car__age__old","Put the white suitcase in the old car.","Mete la maleta blanca en el coche viejo.","ضع الحقيبة البيضاء في السيارة القديمة.","Legen Sie den weißen Koffer in das alte Auto."
"suitcase__color__blue-store_medium-car","Put the blue suitcase in the car.","Mete la maleta azul en el coche.","ضع الحقيبة الزرقاء في السيارة.","Legen Sie den blauen Koffer in das Auto."
"suitcase__color__blue-store_medium-car__color__black","Put the blue suitcase in the black car.","Mete la maleta azul en el coche negro.","ضع الحقيبة الزرقاء في السيارة السوداء.","Legen Sie den blauen Koffer in das schwarze Auto."
"suitcase__color__blue-store_medium-car__color__blue","Put the blue suitcase in the blue car.","Mete la maleta azul en el coche azul.","ضع الحقيبة الزرقاء في السيارة الزرقاء.","Lege den blauen Koffer in das blaue Auto."
"suitcase__color__blue-store_medium-car__color__green","Put the blue suitcase in the green car.","Mete la maleta azul en el coche verde.","ضع الحقيبة الزرقاء في السيارة الخضراء.","Lege den blauen Koffer in das grüne Auto."
"suitcase__color__blue-store_medium-car__color__orange","Put the blue suitcase in the orange car.","Mete la maleta azul en el coche naranja.","ضع الحقيبة الزرقاء في السيارة البرتقالية.","Lege den blauen Koffer in das orangefarbene Auto."
"suitcase__color__blue-store_medium-car__color__pink","Put the blue suitcase in the pink car.","Mete la maleta azul en el coche rosa.","ضع الحقيبة الزرقاء في السيارة الوردية.","Lege den blauen Koffer in das rosa Auto."
"suitcase__color__blue-store_medium-car__color__purple","Put the blue suitcase in the purple car.","Mete la maleta azul en el coche morado.","ضع الحقيبة الزرقاء في السيارة البنفسجية.","Lege den blauen Koffer in das lila Auto."
"suitcase__color__blue-store_medium-car__color__red","Put the blue suitcase in the red car.","Mete la maleta azul en el coche rojo.","ضع الحقيبة الزرقاء في السيارة الحمراء.","Lege den blauen Koffer in das rote Auto."
"suitcase__color__blue-store_medium-car__color__silver","Put the blue suitcase in the silver car.","Mete la maleta azul en el coche plateado.","ضع الحقيبة الزرقاء في السيارة الفضية.","Legen Sie den blauen Koffer in das silberne Auto."
"suitcase__color__blue-store_medium-car__color__white","Put the blue suitcase in the white car.","Mete la maleta azul en el coche blanco.","ضع الحقيبة الزرقاء في السيارة البيضاء.","Lege den blauen Koffer in das weiße Auto."
"suitcase__color__blue-store_medium-car__color__yellow","Put the blue suitcase in the yellow car.","Mete la maleta azul en el coche amarillo.","ضع الحقيبة الزرقاء في السيارة الصفراء.","Legen Sie den blauen Koffer in das gelbe Auto."
"suitcase__color__blue-store_medium-car__age__new","Put the blue suitcase in the new car.","Mete la maleta azul en el coche nuevo.","ضع الحقيبة الزرقاء في السيارة الجديدة.","Legen Sie den blauen Koffer in das neue Auto."
"suitcase__color__blue-store_medium-car__age__old","Put the blue suitcase in the old car.","Pon la maleta azul en el coche viejo.","ضع الحقيبة الزرقاء في السيارة القديمة.","Legen Sie den blauen Koffer in das alte Auto."
"table-move_furniture-apartment","Move the table into the apartment.","Mueve la mesa al apartamento.","انقل الطاولة إلى الشقة.","Bringen Sie den Tisch in die Wohnung."
"teddy-put_in_bedding-bed","Put the teddy on the bed.","Pon el peluche en la cama.","ضع الدمية على السرير.","Legen Sie den Teddy auf das Bett."
"teddy-give-siblings","Give the teddy to the siblings.","Dale el osito a los hermanos.","أعط الدمية للأشقاء.","Geben Sie den Teddy den Geschwistern."
"teddy-give-sisters","Give the teddy to the sisters.","Dale el osito a las hermanas.","أعط الدمية للأخوات.","Gib den Teddy den Schwestern."
"toddler-put_child-bed","Put the toddler on the bed.","Pon al niño en la cama.","ضع الدمية على السرير.","Lege das Kleinkind auf das Bett."
"toddler-put_child-stroller","Put the toddler in the stroller.","Pon al niño en el cochecito.","ضع الطفل في عربة الأطفال.","Setze das Kleinkind in den Kinderwagen."
"towels_folded-store_small-backpack","Put the towels in the backpack.","Pon las toallas en la mochila.","ضع المناشف في حقيبة الظهر.","Lege die Handtücher in den Rucksack."
"toy-give-boy","Give the toy to the boy.","Dale el juguete al niño.","أعطِ اللعبة للولد.","Geben Sie das Spielzeug dem Jungen."
"toy-give-sisters","Give the toy to the sisters.","Dale el juguete a las hermanas.","أعطِ اللعبة للأختين.","Gib das Spielzeug den Schwestern."
"tractor-drive_to-house","Drive the tractor to the house.","Conduce el tractor hasta la casa.","قُد الجرار إلى المنزل.","Fahre den Traktor zum Haus."
"truck-drive_to-house","The truck drives to the house.","Conduce el camión hasta la casa.","قيادة الجرار إلى المنزل.","Der Lastwagen fährt zum Haus."
"truck-drive_to-parking_lot","Park the truck.","Aparca el camión.","أوقف الشاحنة.","Parken Sie den Lkw."
"tuktuk-drive_to-parking_lot","Park the tuktuk.","Aparca el tuktuk.","أوقف التوكتوك.","Parke das Tuktuk."
"umbrella-store_medium-car","Put the umbrella in the car.","Pon el paraguas en el coche.","ضع المظلة في السيارة.","Lege den Regenschirm in das Auto."
"umbrella-store_medium-car__color__purple","Put the umbrella in the purple car.","Pon el paraguas en el coche morado.","ضع المظلة في السيارة البنفسجية.","Lege den Regenschirm in das lila Auto."
"umbrella-store_medium-car__color__red","Put the umbrella in the red car.","Pon el paraguas en el coche rojo.","ضع المظلة في السيارة الحمراء.","Lege den Regenschirm in das rote Auto."
"vase-move_furniture-apartment","Put the vase in the apartment.","Pon el jarrón en el apartamento.","ضع المزهرية في الشقة.","Stellen Sie die Vase in die Wohnung."
"walnut_half-eat-you","Eat the walnut.","Cómete la nuez.","تناول الجوز.","Essen Sie die Walnuss."
"water_bottle-drink-you","Drink some water.","Bebe agua.","اشرب بعض الماء.","Trinke etwas Wasser."
"wedding_ring-store_small-box_opened","Put the wedding ring in the box.","Pon el anillo de boda en la caja.","ضع خاتم الزواج في الصندوق.","Legen Sie den Ehering in die Schachtel."
"woman-go_to-church","The woman goes to church.","La mujer va a la iglesia.","تذهب المرأة إلى الكنيسة.","Die Frau geht in die Kirche."
"you-get_in-bus","Get in the bus.","Sube al autobús.","اركب الحافلة.","Steigen Sie in den Bus."
"you-get_in-bus__size__big","Get in the big bus.","Sube al autobús grande.","اركب الحافلة الكبيرة.","Steigen Sie in den großen Bus."
"you-get_in-bus__color__blue","Get in the blue bus.","Sube al autobús azul.","اركب الحافلة الزرقاء.","Steigen Sie in den blauen Bus."
"you-get_in-car","Get in the car.","Sube al coche.","اركب السيارة.","Steigen Sie in das Auto."
"you-get_in-car__color__black","Get in the black clar.","Sube al clar negro.","اركب السيارة السوداء.","Steig in den schwarzen Bus."
"you-get_in-car__age__new","Get in the new car.","Sube al coche nuevo.","اركب السيارة الجديدة.","Steig in das neue Auto."
"you-go_to-church","Go to the church.","Ve a la iglesia.","اذهب إلى الكنيسة.","Geh zur Kirche."
"you-go_to-flag_egypt","Go to the Egyptian flag.","Ve a la bandera egipcia.","اذهب إلى العلم المصري.","Geh zur ägyptischen Flagge."
"you-go_to-flag_germany","Go to the German flag.","Ve a la bandera alemana.","اذهب إلى العلم الألماني.","Gehen Sie zur deutschen Flagge."
"you-go_to-flag_jordan","Go to the Jordanian flag.","Ve a la bandera jordana.","اذهب إلى العلم الأردني.","Gehen Sie zur jordanischen Flagge."
"you-go_to-house","Go into the house.","Entra en la casa.","اذهب إلى المنزل.","Gehen Sie in das Haus."
"you-get_in-plane","Board the plane.","Sube al avión.","اركب الطائرة.","Steigen Sie in das Flugzeug."
"you-get_in-taxi","Get in the taxi.","Sube al taxi.","اركب سيارة الأجرة.","Steigen Sie in das Taxi."
"you-get_in-tractor","Get in the tractor.","Sube al tractor.","اركب الجرار.","Steigen Sie in den Traktor."
"you-get_in-tuktuk","Get in the tuktuk.","Sube al tuktuk.","اركب التوكتوك.","Steigen Sie in das Tuktuk."
